,x,y,sector
0,108.63060686015831,150.04749340369392,1
1,13.798712905929792,204.7987129059298,1
2,14.0,205.0,1
3,14.0,206.0,1
4,16.0,208.0,1
5,16.0,209.0,1
6,18.0,211.0,1
7,18.0,213.0,1
8,17.0,214.0,1
9,19.0,216.0,1
10,19.0,218.0,1
11,20.0,219.0,1
12,20.0,220.0,1
13,26.0,226.0,1
14,26.0,228.0,1
15,27.0,229.0,1
16,27.0,230.0,1
17,28.0,231.0,1
18,28.0,232.0,1
19,31.0,235.0,1
20,31.0,237.0,1
21,32.0,238.0,1
22,32.0,239.0,1
23,34.0,241.0,1
24,34.0,242.0,1
25,37.0,245.0,1
26,37.0,246.0,1
27,38.0,246.0,1
28,41.0,249.0,1
29,42.0,249.0,1
30,43.0,250.0,1
31,44.0,250.0,1
32,45.0,251.0,1
33,46.0,251.0,1
34,47.0,252.0,1
35,48.0,252.0,1
36,51.0,255.0,1
37,52.0,255.0,1
38,53.0,256.0,1
39,54.0,256.0,1
40,58.0,260.0,1
41,59.0,260.0,1
42,60.0,261.0,1
43,62.0,261.0,1
44,63.0,262.0,1
45,64.0,261.0,1
46,65.0,262.0,1
47,69.0,262.0,1
48,70.0,263.0,1
49,78.0,263.0,1
50,79.0,264.0,1
51,86.0,264.0,1
52,87.0,263.0,1
53,89.0,263.0,1
54,90.0,264.0,1
55,92.0,264.0,1
56,93.0,265.0,1
57,94.0,265.0,1
58,95.0,266.0,1
59,96.0,266.0,1
60,99.0,269.0,1
61,99.0,274.0,1
62,100.0,274.0,1
63,101.0,275.0,1
64,102.0,275.0,1
65,103.0,276.0,1
66,104.0,276.0,1
67,105.0,275.0,1
68,106.0,276.0,1
69,108.63060686015832,276.0,1
70,108.63060686015831,150.04749340369392,1
71,108.63060686015831,150.04749340369392,2
72,12.0,94.25778652102461,2
73,12.0,98.0,2
74,11.0,99.0,2
75,11.0,101.0,2
76,10.0,102.0,2
77,10.0,103.0,2
78,9.0,104.0,2
79,9.0,106.0,2
80,8.0,107.0,2
81,8.0,111.0,2
82,9.0,112.0,2
83,9.0,114.0,2
84,8.0,115.0,2
85,8.0,118.0,2
86,6.0,120.0,2
87,6.0,122.0,2
88,5.0,123.0,2
89,5.0,128.0,2
90,4.0,129.0,2
91,4.0,131.0,2
92,3.0,132.0,2
93,3.0,137.0,2
94,2.0,138.0,2
95,2.0,141.0,2
96,3.0,142.0,2
97,3.0,144.0,2
98,2.0,145.0,2
99,2.0,146.0,2
100,1.0,147.0,2
101,1.0,148.0,2
102,2.0,149.0,2
103,2.0,150.0,2
104,3.0,151.0,2
105,3.0,152.0,2
106,2.0,153.0,2
107,1.0,153.0,2
108,0.0,154.0,2
109,0.0,162.0,2
110,1.0,163.0,2
111,0.0,164.0,2
112,0.0,166.0,2
113,1.0,167.0,2
114,1.0,169.0,2
115,2.0,170.0,2
116,2.0,172.0,2
117,3.0,173.0,2
118,3.0,177.0,2
119,4.0,178.0,2
120,4.0,182.0,2
121,5.0,183.0,2
122,5.0,184.0,2
123,6.0,185.0,2
124,6.0,187.0,2
125,8.0,189.0,2
126,8.0,191.0,2
127,9.0,192.0,2
128,9.0,193.0,2
129,10.0,194.0,2
130,10.0,196.0,2
131,11.0,197.0,2
132,11.0,199.0,2
133,12.0,200.0,2
134,12.0,202.0,2
135,13.0,203.0,2
136,13.0,204.0,2
137,13.798712905929792,204.7987129059298,2
138,108.63060686015831,150.04749340369392,2
139,108.63060686015831,150.04749340369392,3
140,108.63060686015828,1.0,3
141,108.0,1.0,3
142,106.0,3.0,3
143,104.0,3.0,3
144,103.0,4.0,3
145,103.0,12.0,3
146,104.0,13.0,3
147,104.0,20.0,3
148,105.0,21.0,3
149,105.0,30.0,3
150,106.0,31.0,3
151,106.0,51.0,3
152,105.0,52.0,3
153,106.0,53.0,3
154,106.0,54.0,3
155,105.0,55.0,3
156,105.0,60.0,3
157,104.0,61.0,3
158,104.0,64.0,3
159,103.0,65.0,3
160,102.0,65.0,3
161,101.0,66.0,3
162,98.0,66.0,3
163,97.0,65.0,3
164,90.0,65.0,3
165,89.0,64.0,3
166,82.0,64.0,3
167,81.0,63.0,3
168,75.0,63.0,3
169,74.0,62.0,3
170,69.0,62.0,3
171,68.0,63.0,3
172,62.0,63.0,3
173,61.0,62.0,3
174,50.0,62.0,3
175,49.0,63.0,3
176,45.0,63.0,3
177,44.0,64.0,3
178,41.0,64.0,3
179,39.0,66.0,3
180,38.0,66.0,3
181,37.0,67.0,3
182,36.0,67.0,3
183,35.0,68.0,3
184,32.0,68.0,3
185,30.0,70.0,3
186,29.0,70.0,3
187,19.0,80.0,3
188,19.0,81.0,3
189,17.0,83.0,3
190,17.0,84.0,3
191,16.0,85.0,3
192,16.0,87.0,3
193,15.0,88.0,3
194,15.0,90.0,3
195,13.0,92.0,3
196,13.0,93.0,3
197,12.0,94.0,3
198,12.0,94.25778652102461,3
199,108.63060686015831,150.04749340369392,3
200,108.63060686015831,150.04749340369392,4
201,207.0,93.25389779438613,4
202,207.0,90.0,4
203,206.0,89.0,4
204,206.0,88.0,4
205,205.0,87.0,4
206,205.0,86.0,4
207,204.0,85.0,4
208,204.0,84.0,4
